,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,2pointer_MADE,2pointer_ATTEMPTS,3pointer_MADE,3pointer_ATTEMPTS,FreeThrow_MADE,FreeThrow_ATTEMPTS,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,REBOUNDS_TOTAL,ASSISTS,STEALS,BLOCKS,TURNOVERS,PERSONAL_FOULS,POINTS,SEASON,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
10,Alton Ford,1610612745,HOU,Houston,2228,6.0,11.0,0.0,0.0,3.0,6.0,3.0,8.0,11.0,3.0,0.0,1.0,3.0,9.0,15.0,2003,1981-05-29,41.0,Houston,USA,81.0,280.0,3.0,2001.0,2003.0,2001.0,2.0,50.0
11,Alvin Williams,1610612761,TOR,Toronto,1541,201.0,496.0,26.0,89.0,66.0,85.0,18.0,132.0,150.0,224.0,55.0,10.0,78.0,114.0,494.0,2003,1974-08-06,47.0,Villanova,USA,77.0,195.0,8.0,1997.0,2006.0,1997.0,2.0,47.0
12,Amal McCaskill,1610612755,PHI,Philadelphia,1043,47.0,117.0,0.0,1.0,19.0,27.0,48.0,85.0,133.0,20.0,12.0,20.0,25.0,89.0,113.0,2003,1973-10-28,48.0,Marquette,USA,83.0,235.0,4.0,1996.0,2003.0,1996.0,2.0,49.0
13,Amar'e Stoudemire,1610612756,PHX,Phoenix,2405,411.0,865.0,1.0,5.0,310.0,435.0,157.0,339.0,496.0,78.0,64.0,89.0,177.0,188.0,1133.0,2003,1982-11-16,39.0,Cypress Creek HS (FL),USA,82.0,245.0,14.0,2002.0,2015.0,2002.0,1.0,9.0
14,Andre Miller,1610612743,DEN,Denver,1889,430.0,941.0,12.0,65.0,342.0,411.0,127.0,239.0,366.0,501.0,142.0,25.0,215.0,194.0,1214.0,2003,1976-03-19,46.0,Utah,USA,75.0,200.0,17.0,1999.0,2015.0,1999.0,1.0,8.0
15,Andrei Kirilenko,1610612762,UTA,Utah,1905,412.0,931.0,68.0,201.0,392.0,496.0,226.0,403.0,629.0,244.0,148.0,215.0,215.0,174.0,1284.0,2003,1981-02-18,41.0,CSKA Moscow,Russia,81.0,235.0,12.0,2001.0,2014.0,1999.0,1.0,24.0
16,Andrew DeClercq,1610612753,ORL,Orlando,692,93.0,195.0,0.0,0.0,44.0,54.0,131.0,186.0,317.0,44.0,47.0,32.0,54.0,217.0,230.0,2003,1973-02-01,49.0,Florida,USA,82.0,255.0,10.0,1995.0,2004.0,1995.0,2.0,34.0
17,Anfernee Hardaway,1610612756,PHX,Phoenix,358,279.0,679.0,30.0,79.0,111.0,138.0,69.0,218.0,287.0,176.0,70.0,20.0,107.0,146.0,699.0,2003,1971-07-18,50.0,Memphis,USA,79.0,215.0,13.0,1993.0,2007.0,1993.0,1.0,3.0
18,Ansu Sesay,1610612760,SEA,Seattle,1738,81.0,178.0,6.0,21.0,32.0,46.0,43.0,49.0,92.0,19.0,19.0,20.0,23.0,66.0,200.0,2003,1976-07-29,45.0,Mississippi,USA,81.0,225.0,3.0,2001.0,2004.0,1998.0,2.0,30.0
19,Antawn Jamison,1610612742,DAL,Dallas,1712,488.0,913.0,16.0,40.0,220.0,294.0,233.0,287.0,520.0,70.0,83.0,30.0,81.0,174.0,1212.0,2003,1976-06-12,45.0,North Carolina,USA,81.0,235.0,15.0,1998.0,2013.0,1998.0,1.0,4.0
20,Anthony Carter,1610612759,SAS,San Antonio,1853,11.0,37.0,0.0,3.0,0.0,0.0,2.0,9.0,11.0,12.0,4.0,0.0,12.0,9.0,22.0,2003,1975-06-16,46.0,Hawaii,USA,73.0,190.0,13.0,1999.0,2011.0,0.0,0.0,0.0
21,Anthony Goldwire,1610612750,MIN,Minnesota,924,7.0,22.0,2.0,8.0,1.0,1.0,1.0,6.0,7.0,11.0,5.0,0.0,3.0,5.0,17.0,2003,1971-09-06,50.0,Houston,USA,74.0,182.0,7.0,1995.0,2005.0,1994.0,2.0,52.0
22,Anthony Johnson,1610612754,IND,Indiana,1533,167.0,411.0,41.0,122.0,75.0,94.0,28.0,102.0,130.0,202.0,64.0,8.0,75.0,138.0,450.0,2003,1974-10-02,47.0,College of Charleston,USA,75.0,195.0,13.0,1997.0,2009.0,1997.0,2.0,39.0
23,Anthony Peeler,1610612758,SAC,Sacramento,324,156.0,348.0,68.0,141.0,51.0,61.0,31.0,122.0,153.0,120.0,56.0,10.0,77.0,103.0,431.0,2003,1969-11-25,52.0,Missouri,USA,76.0,208.0,13.0,1992.0,2004.0,1992.0,1.0,15.0
24,Antoine Walker,1610612742,DAL,Dallas,952,483.0,1129.0,82.0,305.0,103.0,186.0,198.0,486.0,684.0,369.0,65.0,65.0,202.0,212.0,1151.0,2003,1976-08-12,45.0,Kentucky,USA,81.0,245.0,12.0,1996.0,2007.0,1996.0,1.0,6.0
25,Antonio Daniels,1610612760,SEA,Seattle,1498,187.0,398.0,42.0,116.0,155.0,184.0,23.0,119.0,142.0,298.0,45.0,6.0,61.0,64.0,571.0,2003,1975-03-19,47.0,Bowling Green,USA,76.0,205.0,13.0,1997.0,2010.0,1997.0,1.0,4.0
26,Antonio Davis,1610612761,TOR,Toronto,213,266.0,660.0,0.0,0.0,176.0,230.0,207.0,464.0,671.0,137.0,37.0,65.0,114.0,206.0,708.0,2003,1968-10-31,53.0,Texas-El Paso,USA,81.0,245.0,12.0,1993.0,2005.0,1990.0,2.0,45.0
27,Antonio McDyess,1610612752,NYK,New York,686,126.0,268.0,0.0,0.0,38.0,69.0,70.0,187.0,257.0,36.0,37.0,24.0,57.0,117.0,290.0,2003,1974-09-07,47.0,Alabama,USA,81.0,245.0,15.0,1995.0,2010.0,1995.0,1.0,2.0
28,Austin Croshere,1610612754,IND,Indiana,1506,119.0,307.0,56.0,144.0,93.0,104.0,60.0,183.0,243.0,52.0,24.0,14.0,55.0,101.0,387.0,2003,1975-05-01,47.0,Providence,USA,82.0,240.0,11.0,1997.0,2008.0,1997.0,1.0,12.0
29,Avery Johnson,1610612744,GSW,Golden State,422,80.0,199.0,0.0,3.0,52.0,78.0,3.0,30.0,33.0,111.0,26.0,3.0,51.0,34.0,212.0,2003,1965-03-25,57.0,Southern,USA,71.0,185.0,16.0,1988.0,2003.0,0.0,0.0,0.0
30,Baron Davis,1610612740,NOH,New Orleans,1884,554.0,1402.0,187.0,582.0,237.0,352.0,66.0,221.0,287.0,501.0,158.0,27.0,215.0,178.0,1532.0,2003,1979-04-13,43.0,UCLA,USA,75.0,212.0,13.0,1999.0,2011.0,1999.0,1.0,3.0
31,Ben Handlogten,1610612762,UTA,Utah,1052,25.0,47.0,0.0,0.0,18.0,27.0,22.0,33.0,55.0,6.0,3.0,4.0,10.0,32.0,68.0,2003,1973-11-16,48.0,Western Michigan,USA,82.0,240.0,2.0,2003.0,2004.0,0.0,0.0,0.0
32,Ben Wallace,1610612765,DET,Detroit,1112,315.0,748.0,1.0,8.0,142.0,290.0,324.0,682.0,1006.0,138.0,143.0,246.0,123.0,162.0,773.0,2003,1974-09-10,47.0,Virginia Union,USA,81.0,240.0,16.0,1996.0,2011.0,0.0,0.0,0.0
33,Bimbo Coles,1610612748,MIA,Miami,902,12.0,34.0,0.0,0.0,4.0,6.0,2.0,8.0,10.0,15.0,3.0,0.0,9.0,27.0,28.0,2003,1968-04-22,54.0,Virginia Tech,USA,74.0,182.0,14.0,1990.0,2003.0,1990.0,2.0,40.0
34,Bo Outlaw,1610612763,MEM,Memphis,448,159.0,312.0,0.0,4.0,61.0,116.0,125.0,217.0,342.0,90.0,73.0,70.0,69.0,170.0,379.0,2003,1971-04-13,51.0,Houston,USA,80.0,220.0,14.0,1993.0,2007.0,0.0,0.0,0.0
35,Bob Sura,1610612765,DET,Detroit,682,202.0,485.0,21.0,79.0,171.0,226.0,100.0,226.0,326.0,233.0,62.0,14.0,105.0,158.0,596.0,2003,1973-03-25,49.0,Florida State,USA,77.0,200.0,10.0,1995.0,2006.0,1995.0,1.0,17.0
36,Bobby Jackson,1610612758,SAC,Sacramento,1517,263.0,592.0,81.0,219.0,82.0,109.0,55.0,119.0,174.0,105.0,49.0,8.0,63.0,106.0,689.0,2003,1973-03-13,49.0,Minnesota,USA,73.0,185.0,12.0,1997.0,2008.0,1997.0,1.0,23.0
37,Bobby Simmons,1610612746,LAC,Los Angeles,2250,147.0,373.0,2.0,12.0,141.0,169.0,115.0,147.0,262.0,96.0,51.0,17.0,73.0,169.0,437.0,2003,1980-06-02,41.0,DePaul,USA,78.0,235.0,10.0,2001.0,2011.0,2001.0,2.0,41.0
38,Bonzi Wells,1610612757,POR,Portland,1719,363.0,850.0,22.0,69.0,138.0,183.0,78.0,182.0,260.0,139.0,91.0,19.0,161.0,197.0,886.0,2003,1976-09-28,45.0,Ball State,USA,77.0,210.0,10.0,1998.0,2007.0,1998.0,1.0,11.0
39,Boris Diaw,1610612737,ATL,Atlanta,2564,140.0,313.0,6.0,26.0,56.0,93.0,111.0,231.0,342.0,182.0,59.0,37.0,126.0,191.0,342.0,2003,1982-04-16,40.0,Pau Orthez,France,80.0,250.0,14.0,2003.0,2016.0,2003.0,1.0,21.0
40,Bostjan Nachbar,1610612745,HOU,Houston,2411,47.0,132.0,23.0,63.0,21.0,29.0,8.0,62.0,70.0,30.0,14.0,14.0,23.0,72.0,138.0,2003,1980-07-03,41.0,Benetton Treviso,Slovenia,81.0,221.0,6.0,2002.0,2007.0,2002.0,1.0,15.0
41,Brad Miller,1610612758,SAC,Sacramento,1802,373.0,731.0,12.0,38.0,256.0,329.0,191.0,552.0,743.0,312.0,68.0,86.0,144.0,247.0,1014.0,2003,1976-04-12,46.0,Purdue,USA,84.0,261.0,14.0,1998.0,2011.0,0.0,0.0,0.0
42,Brandon Armstrong,1610612751,NJN,New Jersey,2220,65.0,175.0,19.0,52.0,2.0,4.0,12.0,31.0,43.0,14.0,12.0,2.0,24.0,49.0,151.0,2003,1980-06-16,41.0,Pepperdine,USA,77.0,185.0,3.0,2001.0,2003.0,2001.0,1.0,23.0
43,Brandon Hunter,1610612738,BOS,Boston,2599,53.0,116.0,0.0,3.0,19.0,43.0,50.0,68.0,118.0,19.0,13.0,1.0,22.0,40.0,125.0,2003,1980-11-24,41.0,Ohio,USA,79.0,266.0,2.0,2003.0,2004.0,2003.0,2.0,56.0
44,Brendan Haywood,1610612764,WAS,Washington,2217,200.0,388.0,0.0,1.0,137.0,234.0,186.0,201.0,387.0,43.0,32.0,100.0,80.0,154.0,537.0,2003,1979-11-27,42.0,North Carolina,USA,84.0,263.0,12.0,2001.0,2014.0,2001.0,1.0,20.0
45,Brent Barry,1610612760,SEA,Seattle,699,215.0,427.0,114.0,252.0,91.0,110.0,21.0,183.0,204.0,342.0,85.0,16.0,139.0,121.0,635.0,2003,1971-12-31,50.0,Oregon State,USA,79.0,210.0,14.0,1995.0,2008.0,1995.0,1.0,15.0
46,Brevin Knight,1610612756,PHX,Phoenix,1510,105.0,246.0,2.0,8.0,49.0,65.0,14.0,98.0,112.0,204.0,84.0,1.0,72.0,107.0,261.0,2003,1975-11-08,46.0,Stanford,USA,70.0,166.0,12.0,1997.0,2008.0,1997.0,1.0,16.0
47,Brian Cardinal,1610612744,GSW,Golden State,2073,220.0,466.0,55.0,124.0,238.0,271.0,100.0,217.0,317.0,103.0,66.0,20.0,84.0,206.0,733.0,2003,1977-05-02,45.0,Purdue,USA,80.0,240.0,12.0,2000.0,2011.0,2000.0,2.0,44.0
48,Brian Cook,1610612747,LAL,Los Angeles,2567,67.0,141.0,0.0,5.0,21.0,28.0,31.0,70.0,101.0,20.0,16.0,16.0,17.0,64.0,155.0,2003,1980-12-04,41.0,Illinois,USA,81.0,250.0,9.0,2003.0,2011.0,2003.0,1.0,24.0
49,Brian Grant,1610612748,MIA,Miami,258,289.0,613.0,0.0,1.0,86.0,110.0,174.0,350.0,524.0,69.0,51.0,35.0,82.0,254.0,664.0,2003,1972-03-05,50.0,Xavier,USA,81.0,254.0,12.0,1994.0,2005.0,1994.0,1.0,8.0
50,Brian Scalabrine,1610612751,NJN,New Jersey,2243,86.0,218.0,10.0,41.0,58.0,70.0,42.0,131.0,173.0,65.0,21.0,14.0,42.0,113.0,240.0,2003,1978-03-18,44.0,Southern California,USA,81.0,235.0,11.0,2001.0,2011.0,2001.0,2.0,34.0
51,Brian Skinner,1610612749,MIL,Milwaukee,1730,255.0,513.0,0.0,0.0,79.0,138.0,119.0,292.0,411.0,49.0,30.0,61.0,78.0,165.0,589.0,2003,1976-05-19,46.0,Baylor,USA,81.0,255.0,13.0,1998.0,2011.0,1998.0,1.0,22.0
52,Britton Johnsen,1610612753,ORL,Orlando,2639,17.0,59.0,1.0,12.0,7.0,16.0,15.0,30.0,45.0,12.0,7.0,1.0,14.0,28.0,42.0,2003,1979-07-08,42.0,Utah,USA,82.0,210.0,1.0,2003.0,2004.0,0.0,0.0,0.0
53,Bruce Bowen,1610612759,SAS,San Antonio,1477,211.0,502.0,77.0,212.0,66.0,114.0,45.0,208.0,253.0,113.0,84.0,33.0,90.0,166.0,565.0,2003,1971-06-14,50.0,California State-Fullerton,USA,79.0,200.0,13.0,1996.0,2008.0,0.0,0.0,0.0
54,Bruno Sundov,1610612739,CLE,Cleveland,1743,4.0,10.0,0.0,0.0,3.0,6.0,2.0,8.0,10.0,1.0,0.0,0.0,3.0,9.0,11.0,2003,1980-02-10,42.0,Split,Croatia,86.0,260.0,7.0,1998.0,2004.0,1998.0,2.0,35.0
55,Bryce Drew,1610612740,NOH,New Orleans,1724,4.0,18.0,1.0,7.0,3.0,3.0,0.0,6.0,6.0,13.0,4.0,0.0,8.0,1.0,12.0,2003,1974-09-21,47.0,Valparaiso,USA,75.0,184.0,5.0,1998.0,2003.0,1998.0,1.0,16.0
56,Bryon Russell,1610612747,LAL,Los Angeles,935,98.0,244.0,43.0,112.0,50.0,65.0,32.0,114.0,146.0,71.0,32.0,12.0,37.0,110.0,289.0,2003,1970-12-31,51.0,Long Beach State,USA,79.0,225.0,12.0,1993.0,2005.0,1993.0,2.0,45.0
57,Calbert Cheaney,1610612744,GSW,Golden State,384,278.0,578.0,0.0,10.0,47.0,77.0,77.0,183.0,260.0,136.0,60.0,12.0,85.0,184.0,603.0,2003,1971-07-17,50.0,Indiana,USA,79.0,210.0,12.0,1993.0,2005.0,1993.0,1.0,6.0
58,Calvin Booth,1610612760,SEA,Seattle,1916,135.0,290.0,0.0,2.0,75.0,94.0,86.0,194.0,280.0,28.0,17.0,101.0,45.0,150.0,345.0,2003,1976-05-07,46.0,Penn State,USA,83.0,230.0,10.0,1999.0,2008.0,1999.0,2.0,35.0
59,Carlos Arroyo,1610612762,UTA,Utah,2306,339.0,768.0,38.0,117.0,181.0,225.0,41.0,144.0,185.0,355.0,63.0,5.0,156.0,165.0,897.0,2003,1979-07-30,42.0,Florida International,Puerto Rico,74.0,200.0,9.0,2001.0,2010.0,0.0,0.0,0.0
60,Carlos Boozer,1610612739,CLE,Cleveland,2430,471.0,900.0,1.0,6.0,219.0,285.0,230.0,627.0,857.0,148.0,74.0,55.0,134.0,199.0,1162.0,2003,1981-11-20,40.0,Duke,USA,81.0,258.0,12.0,2002.0,2014.0,2002.0,2.0,34.0
61,Carmelo Anthony,1610612743,DEN,Denver,2546,624.0,1465.0,69.0,214.0,408.0,525.0,183.0,315.0,498.0,227.0,97.0,41.0,247.0,225.0,1725.0,2003,1984-05-29,38.0,Syracuse,USA,79.0,238.0,17.0,2003.0,2020.0,2003.0,1.0,3.0
62,Caron Butler,1610612748,MIA,Miami,2406,240.0,631.0,10.0,42.0,133.0,176.0,92.0,234.0,326.0,126.0,75.0,13.0,91.0,162.0,623.0,2003,1980-03-13,42.0,Connecticut,USA,79.0,228.0,14.0,2002.0,2015.0,2002.0,1.0,10.0
63,Casey Jacobsen,1610612756,PHX,Phoenix,2418,150.0,360.0,75.0,180.0,91.0,111.0,42.0,159.0,201.0,98.0,48.0,9.0,68.0,144.0,466.0,2003,1981-03-19,41.0,Stanford,USA,78.0,215.0,4.0,2002.0,2007.0,2002.0,1.0,22.0
64,Cezary Trybanski,1610612756,PHX,Phoenix,2456,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2003,1979-09-22,42.0,Znicz Pruszkow,Poland,86.0,240.0,2.0,2002.0,2003.0,0.0,0.0,0.0
65,Charles Oakley,1610612745,HOU,Houston,891,2.0,6.0,0.0,0.0,5.0,6.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,8.0,9.0,2003,1963-12-18,58.0,Virginia Union,USA,81.0,245.0,18.0,1985.0,2003.0,1985.0,1.0,9.0
66,Charlie Ward,1610612752,NYK,New York,369,160.0,390.0,84.0,206.0,20.0,27.0,12.0,132.0,144.0,215.0,64.0,11.0,96.0,107.0,424.0,2003,1970-10-12,51.0,Florida State,USA,74.0,185.0,11.0,1994.0,2004.0,1994.0,1.0,26.0
67,Chauncey Billups,1610612765,DET,Detroit,1497,392.0,996.0,130.0,335.0,404.0,460.0,35.0,241.0,276.0,446.0,84.0,8.0,189.0,177.0,1318.0,2003,1976-09-25,45.0,Colorado,USA,75.0,210.0,16.0,1997.0,2013.0,1997.0,1.0,3.0
68,Cherokee Parks,1610612744,GSW,Golden State,685,4.0,10.0,0.0,0.0,4.0,6.0,4.0,6.0,10.0,1.0,0.0,3.0,2.0,7.0,12.0,2003,1972-10-11,49.0,Duke,USA,83.0,240.0,8.0,1995.0,2003.0,1995.0,1.0,12.0
69,Chris Andersen,1610612743,DEN,Denver,2365,89.0,198.0,0.0,1.0,60.0,101.0,85.0,204.0,289.0,35.0,33.0,114.0,48.0,117.0,238.0,2003,1978-07-07,43.0,Blinn J.C.,USA,82.0,245.0,14.0,2001.0,2016.0,0.0,0.0,0.0
70,Chris Bosh,1610612761,TOR,Toronto,2547,327.0,712.0,5.0,14.0,202.0,288.0,191.0,366.0,557.0,78.0,59.0,106.0,107.0,215.0,861.0,2003,1984-03-24,38.0,Georgia Tech,USA,83.0,235.0,13.0,2003.0,2016.0,2003.0,1.0,4.0
71,Chris Crawford,1610612737,ATL,Atlanta,1544,211.0,471.0,44.0,113.0,103.0,119.0,58.0,117.0,175.0,45.0,37.0,20.0,55.0,131.0,569.0,2003,1975-05-13,47.0,Marquette,USA,81.0,235.0,7.0,1997.0,2003.0,1997.0,2.0,50.0
72,Chris Jefferies,1610612761,TOR,Toronto,2423,27.0,72.0,17.0,42.0,13.0,20.0,5.0,24.0,29.0,7.0,4.0,7.0,19.0,36.0,84.0,2003,1980-02-13,42.0,Fresno State,USA,80.0,230.0,2.0,2002.0,2003.0,2002.0,1.0,27.0
73,Chris Kaman,1610612746,LAC,Los Angeles,2549,200.0,435.0,0.0,2.0,99.0,142.0,126.0,335.0,461.0,85.0,23.0,73.0,155.0,211.0,499.0,2003,1982-04-28,40.0,Central Michigan,USA,84.0,265.0,13.0,2003.0,2015.0,2003.0,1.0,6.0
74,Chris Mihm,1610612739,CLE,Cleveland,2036,186.0,381.0,0.0,0.0,110.0,166.0,156.0,257.0,413.0,21.0,37.0,63.0,90.0,208.0,482.0,2003,1979-07-16,42.0,Texas,USA,84.0,265.0,8.0,2000.0,2008.0,2000.0,1.0,7.0
75,Chris Webber,1610612758,SAC,Sacramento,185,174.0,421.0,1.0,5.0,81.0,114.0,48.0,152.0,200.0,105.0,31.0,20.0,60.0,76.0,430.0,2003,1973-03-01,49.0,Michigan,USA,82.0,245.0,14.0,1993.0,2007.0,1993.0,1.0,1.0
76,Chris Whitney,1610612764,WAS,Washington,43,17.0,42.0,8.0,17.0,5.0,5.0,3.0,10.0,13.0,14.0,6.0,2.0,6.0,6.0,47.0,2003,1971-10-05,50.0,Clemson,USA,72.0,175.0,11.0,1993.0,2003.0,1993.0,2.0,47.0
77,Chris Wilcox,1610612746,LAC,Los Angeles,2404,227.0,436.0,0.0,1.0,105.0,150.0,125.0,180.0,305.0,51.0,29.0,20.0,80.0,183.0,559.0,2003,1982-09-03,39.0,Maryland,USA,82.0,235.0,11.0,2002.0,2012.0,2002.0,1.0,8.0
78,Christian Laettner,1610612764,WAS,Washington,363,119.0,256.0,6.0,21.0,40.0,50.0,50.0,182.0,232.0,89.0,37.0,28.0,42.0,102.0,284.0,2003,1969-08-17,52.0,Duke,USA,83.0,245.0,13.0,1992.0,2004.0,1992.0,1.0,3.0
79,Chucky Atkins,1610612765,DET,Detroit,1088,192.0,484.0,81.0,241.0,73.0,97.0,9.0,84.0,93.0,223.0,45.0,2.0,92.0,102.0,538.0,2003,1974-08-14,47.0,South Florida,USA,71.0,185.0,11.0,1999.0,2009.0,0.0,0.0,0.0
80,Clar. Weatherspoon,1610612752,NYK,New York,221,104.0,211.0,0.0,1.0,53.0,72.0,74.0,130.0,204.0,30.0,30.0,15.0,35.0,75.0,261.0,2003,1970-09-08,51.0,Southern Mississippi,USA,79.0,270.0,13.0,1992.0,2004.0,1992.0,1.0,9.0
81,Clifford Robinson,1610612744,GSW,Golden State,361,366.0,945.0,112.0,314.0,123.0,173.0,54.0,268.0,322.0,271.0,68.0,73.0,173.0,237.0,967.0,2003,1966-12-16,55.0,Connecticut,USA,82.0,245.0,17.0,1989.0,2006.0,1989.0,2.0,36.0
82,Corey Maggette,1610612746,LAC,Los Angeles,1894,453.0,1013.0,76.0,231.0,526.0,620.0,96.0,334.0,430.0,224.0,65.0,16.0,207.0,217.0,1508.0,2003,1979-11-12,42.0,Duke,USA,78.0,225.0,14.0,1999.0,2012.0,1999.0,1.0,13.0
83,Corie Blount,1610612741,CHI,Chicago,916,115.0,253.0,0.0,3.0,15.0,27.0,98.0,177.0,275.0,55.0,49.0,24.0,43.0,135.0,245.0,2003,1969-01-04,53.0,Cincinnati,USA,82.0,242.0,11.0,1993.0,2003.0,1993.0,1.0,25.0
84,Corliss Williamson,1610612765,DET,Detroit,722,304.0,602.0,0.0,0.0,144.0,197.0,88.0,168.0,256.0,57.0,30.0,20.0,113.0,204.0,752.0,2003,1973-12-04,48.0,Arkansas,USA,79.0,245.0,12.0,1995.0,2006.0,1995.0,1.0,13.0
85,Curtis Borchardt,1610612762,UTA,Utah,2414,21.0,51.0,0.0,1.0,13.0,16.0,12.0,38.0,50.0,13.0,4.0,14.0,18.0,35.0,55.0,2003,1980-09-13,41.0,Stanford,USA,84.0,242.0,2.0,2002.0,2004.0,2002.0,1.0,18.0
86,Cuttino Mobley,1610612745,HOU,Houston,1749,460.0,1081.0,164.0,420.0,176.0,217.0,40.0,322.0,362.0,258.0,107.0,33.0,180.0,179.0,1260.0,2003,1975-09-01,46.0,Rhode Island,USA,76.0,215.0,11.0,1998.0,2008.0,1998.0,2.0,41.0
87,Dahntay Jones,1610612763,MEM,Memphis,2563,15.0,53.0,1.0,4.0,5.0,11.0,7.0,16.0,23.0,12.0,5.0,6.0,12.0,23.0,36.0,2003,1980-12-27,41.0,Duke,USA,78.0,225.0,13.0,2003.0,2016.0,2003.0,1.0,20.0
88,Dajuan Wagner,1610612739,CLE,Cleveland,2402,112.0,306.0,31.0,86.0,32.0,47.0,9.0,49.0,58.0,51.0,26.0,7.0,41.0,89.0,287.0,2003,1983-02-04,39.0,Memphis,USA,75.0,200.0,3.0,2002.0,2006.0,2002.0,1.0,6.0
89,Dale Davis,1610612757,POR,Portland,905,133.0,281.0,0.0,0.0,65.0,106.0,158.0,240.0,398.0,72.0,43.0,62.0,40.0,154.0,331.0,2003,1969-03-25,53.0,Clemson,USA,83.0,252.0,16.0,1991.0,2006.0,1991.0,1.0,13.0
90,Damon Jones,1610612749,MIL,Milwaukee,1800,210.0,524.0,98.0,273.0,55.0,72.0,15.0,155.0,170.0,478.0,30.0,4.0,103.0,92.0,573.0,2003,1976-08-25,45.0,Houston,USA,75.0,195.0,11.0,1998.0,2008.0,0.0,0.0,0.0
