,PLAYER_NAME,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,2pointer_MADE,2pointer_ATTEMPTS,3pointer_MADE,3pointer_ATTEMPTS,FreeThrow_MADE,FreeThrow_ATTEMPTS,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,REBOUNDS_TOTAL,ASSISTS,STEALS,BLOCKS,TURNOVERS,PERSONAL_FOULS,POINTS,SEASON
42,Brandon Armstrong,1980-06-16,41,Pepperdine,USA,77.0,185.0,3,2001,2003,2001,1,23,1610612751,NJN,New Jersey,2220,65.0,175.0,19.0,52.0,2.0,4.0,12.0,31.0,43.0,14.0,12.0,2.0,24.0,49.0,151.0,2003
43,Brandon Hunter,1980-11-24,41,Ohio,USA,79.0,266.0,2,2003,2004,2003,2,56,1610612738,BOS,Boston,2599,53.0,116.0,0.0,3.0,19.0,43.0,50.0,68.0,118.0,19.0,13.0,1.0,22.0,40.0,125.0,2003
44,Brendan Haywood,1979-11-27,42,North Carolina,USA,84.0,263.0,12,2001,2014,2001,1,20,1610612764,WAS,Washington,2217,200.0,388.0,0.0,1.0,137.0,234.0,186.0,201.0,387.0,43.0,32.0,100.0,80.0,154.0,537.0,2003
45,Brent Barry,1971-12-31,50,Oregon State,USA,79.0,210.0,14,1995,2008,1995,1,15,1610612760,SEA,Seattle,699,215.0,427.0,114.0,252.0,91.0,110.0,21.0,183.0,204.0,342.0,85.0,16.0,139.0,121.0,635.0,2003
46,Brevin Knight,1975-11-08,46,Stanford,USA,70.0,166.0,12,1997,2008,1997,1,16,1610612756,PHX,Phoenix,1510,105.0,246.0,2.0,8.0,49.0,65.0,14.0,98.0,112.0,204.0,84.0,1.0,72.0,107.0,261.0,2003
47,Brian Cardinal,1977-05-02,45,Purdue,USA,80.0,240.0,12,2000,2011,2000,2,44,1610612744,GSW,Golden State,2073,220.0,466.0,55.0,124.0,238.0,271.0,100.0,217.0,317.0,103.0,66.0,20.0,84.0,206.0,733.0,2003
48,Brian Cook,1980-12-04,41,Illinois,USA,81.0,250.0,9,2003,2011,2003,1,24,1610612747,LAL,Los Angeles,2567,67.0,141.0,0.0,5.0,21.0,28.0,31.0,70.0,101.0,20.0,16.0,16.0,17.0,64.0,155.0,2003
49,Brian Grant,1972-03-05,50,Xavier,USA,81.0,254.0,12,1994,2005,1994,1,8,1610612748,MIA,Miami,258,289.0,613.0,0.0,1.0,86.0,110.0,174.0,350.0,524.0,69.0,51.0,35.0,82.0,254.0,664.0,2003
50,Brian Scalabrine,1978-03-18,44,Southern California,USA,81.0,235.0,11,2001,2011,2001,2,34,1610612751,NJN,New Jersey,2243,86.0,218.0,10.0,41.0,58.0,70.0,42.0,131.0,173.0,65.0,21.0,14.0,42.0,113.0,240.0,2003
51,Brian Skinner,1976-05-19,46,Baylor,USA,81.0,255.0,13,1998,2011,1998,1,22,1610612749,MIL,Milwaukee,1730,255.0,513.0,0.0,0.0,79.0,138.0,119.0,292.0,411.0,49.0,30.0,61.0,78.0,165.0,589.0,2003
52,Britton Johnsen,1979-07-08,42,Utah,USA,82.0,210.0,1,2003,2004,0,0,0,1610612753,ORL,Orlando,2639,17.0,59.0,1.0,12.0,7.0,16.0,15.0,30.0,45.0,12.0,7.0,1.0,14.0,28.0,42.0,2003
53,Bruce Bowen,1971-06-14,50,California State-Fullerton,USA,79.0,200.0,13,1996,2008,0,0,0,1610612759,SAS,San Antonio,1477,211.0,502.0,77.0,212.0,66.0,114.0,45.0,208.0,253.0,113.0,84.0,33.0,90.0,166.0,565.0,2003
54,Bruno Sundov,1980-02-10,42,Split,Croatia,86.0,260.0,7,1998,2004,1998,2,35,1610612739,CLE,Cleveland,1743,4.0,10.0,0.0,0.0,3.0,6.0,2.0,8.0,10.0,1.0,0.0,0.0,3.0,9.0,11.0,2003
55,Bryce Drew,1974-09-21,47,Valparaiso,USA,75.0,184.0,5,1998,2003,1998,1,16,1610612740,NOH,New Orleans,1724,4.0,18.0,1.0,7.0,3.0,3.0,0.0,6.0,6.0,13.0,4.0,0.0,8.0,1.0,12.0,2003
56,Bryon Russell,1970-12-31,51,Long Beach State,USA,79.0,225.0,12,1993,2005,1993,2,45,1610612747,LAL,Los Angeles,935,98.0,244.0,43.0,112.0,50.0,65.0,32.0,114.0,146.0,71.0,32.0,12.0,37.0,110.0,289.0,2003
57,Calbert Cheaney,1971-07-17,50,Indiana,USA,79.0,210.0,12,1993,2005,1993,1,6,1610612744,GSW,Golden State,384,278.0,578.0,0.0,10.0,47.0,77.0,77.0,183.0,260.0,136.0,60.0,12.0,85.0,184.0,603.0,2003
58,Calvin Booth,1976-05-07,46,Penn State,USA,83.0,230.0,10,1999,2008,1999,2,35,1610612760,SEA,Seattle,1916,135.0,290.0,0.0,2.0,75.0,94.0,86.0,194.0,280.0,28.0,17.0,101.0,45.0,150.0,345.0,2003
59,Carlos Arroyo,1979-07-30,42,Florida International,Puerto Rico,74.0,200.0,9,2001,2010,0,0,0,1610612762,UTA,Utah,2306,339.0,768.0,38.0,117.0,181.0,225.0,41.0,144.0,185.0,355.0,63.0,5.0,156.0,165.0,897.0,2003
60,Carlos Boozer,1981-11-20,40,Duke,USA,81.0,258.0,12,2002,2014,2002,2,34,1610612739,CLE,Cleveland,2430,471.0,900.0,1.0,6.0,219.0,285.0,230.0,627.0,857.0,148.0,74.0,55.0,134.0,199.0,1162.0,2003
61,Carmelo Anthony,1984-05-29,38,Syracuse,USA,79.0,238.0,17,2003,2020,2003,1,3,1610612743,DEN,Denver,2546,624.0,1465.0,69.0,214.0,408.0,525.0,183.0,315.0,498.0,227.0,97.0,41.0,247.0,225.0,1725.0,2003
62,Caron Butler,1980-03-13,42,Connecticut,USA,79.0,228.0,14,2002,2015,2002,1,10,1610612748,MIA,Miami,2406,240.0,631.0,10.0,42.0,133.0,176.0,92.0,234.0,326.0,126.0,75.0,13.0,91.0,162.0,623.0,2003
63,Casey Jacobsen,1981-03-19,41,Stanford,USA,78.0,215.0,4,2002,2007,2002,1,22,1610612756,PHX,Phoenix,2418,150.0,360.0,75.0,180.0,91.0,111.0,42.0,159.0,201.0,98.0,48.0,9.0,68.0,144.0,466.0,2003
64,Cezary Trybanski,1979-09-22,42,Znicz Pruszkow,Poland,86.0,240.0,2,2002,2003,0,0,0,1610612756,PHX,Phoenix,2456,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2003
65,Charles Oakley,1963-12-18,58,Virginia Union,USA,81.0,245.0,18,1985,2003,1985,1,9,1610612745,HOU,Houston,891,2.0,6.0,0.0,0.0,5.0,6.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,8.0,9.0,2003
66,Charlie Ward,1970-10-12,51,Florida State,USA,74.0,185.0,11,1994,2004,1994,1,26,1610612752,NYK,New York,369,160.0,390.0,84.0,206.0,20.0,27.0,12.0,132.0,144.0,215.0,64.0,11.0,96.0,107.0,424.0,2003
67,Chauncey Billups,1976-09-25,45,Colorado,USA,75.0,210.0,16,1997,2013,1997,1,3,1610612765,DET,Detroit,1497,392.0,996.0,130.0,335.0,404.0,460.0,35.0,241.0,276.0,446.0,84.0,8.0,189.0,177.0,1318.0,2003
68,Cherokee Parks,1972-10-11,49,Duke,USA,83.0,240.0,8,1995,2003,1995,1,12,1610612744,GSW,Golden State,685,4.0,10.0,0.0,0.0,4.0,6.0,4.0,6.0,10.0,1.0,0.0,3.0,2.0,7.0,12.0,2003
69,Chris Andersen,1978-07-07,43,Blinn J.C.,USA,82.0,245.0,14,2001,2016,0,0,0,1610612743,DEN,Denver,2365,89.0,198.0,0.0,1.0,60.0,101.0,85.0,204.0,289.0,35.0,33.0,114.0,48.0,117.0,238.0,2003
70,Chris Bosh,1984-03-24,38,Georgia Tech,USA,83.0,235.0,13,2003,2016,2003,1,4,1610612761,TOR,Toronto,2547,327.0,712.0,5.0,14.0,202.0,288.0,191.0,366.0,557.0,78.0,59.0,106.0,107.0,215.0,861.0,2003
71,Chris Crawford,1975-05-13,47,Marquette,USA,81.0,235.0,7,1997,2003,1997,2,50,1610612737,ATL,Atlanta,1544,211.0,471.0,44.0,113.0,103.0,119.0,58.0,117.0,175.0,45.0,37.0,20.0,55.0,131.0,569.0,2003
72,Chris Jefferies,1980-02-13,42,Fresno State,USA,80.0,230.0,2,2002,2003,2002,1,27,1610612761,TOR,Toronto,2423,27.0,72.0,17.0,42.0,13.0,20.0,5.0,24.0,29.0,7.0,4.0,7.0,19.0,36.0,84.0,2003
73,Chris Kaman,1982-04-28,40,Central Michigan,USA,84.0,265.0,13,2003,2015,2003,1,6,1610612746,LAC,Los Angeles,2549,200.0,435.0,0.0,2.0,99.0,142.0,126.0,335.0,461.0,85.0,23.0,73.0,155.0,211.0,499.0,2003
74,Chris Mihm,1979-07-16,42,Texas,USA,84.0,265.0,8,2000,2008,2000,1,7,1610612739,CLE,Cleveland,2036,186.0,381.0,0.0,0.0,110.0,166.0,156.0,257.0,413.0,21.0,37.0,63.0,90.0,208.0,482.0,2003
75,Chris Mills,1970-01-25,52,Arizona,USA,79.0,220.0,10,1993,2002,1993,1,22,1610612737,ATL,Atlanta,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003
76,Chris Webber,1973-03-01,49,Michigan,USA,82.0,245.0,14,1993,2007,1993,1,1,1610612758,SAC,Sacramento,185,174.0,421.0,1.0,5.0,81.0,114.0,48.0,152.0,200.0,105.0,31.0,20.0,60.0,76.0,430.0,2003
77,Chris Whitney,1971-10-05,50,Clemson,USA,72.0,175.0,11,1993,2003,1993,2,47,1610612764,WAS,Washington,43,17.0,42.0,8.0,17.0,5.0,5.0,3.0,10.0,13.0,14.0,6.0,2.0,6.0,6.0,47.0,2003
78,Chris Wilcox,1982-09-03,39,Maryland,USA,82.0,235.0,11,2002,2012,2002,1,8,1610612746,LAC,Los Angeles,2404,227.0,436.0,0.0,1.0,105.0,150.0,125.0,180.0,305.0,51.0,29.0,20.0,80.0,183.0,559.0,2003
79,Christian Laettner,1969-08-17,52,Duke,USA,83.0,245.0,13,1992,2004,1992,1,3,1610612764,WAS,Washington,363,119.0,256.0,6.0,21.0,40.0,50.0,50.0,182.0,232.0,89.0,37.0,28.0,42.0,102.0,284.0,2003
80,Chucky Atkins,1974-08-14,47,South Florida,USA,71.0,185.0,11,1999,2009,0,0,0,1610612765,DET,Detroit,1088,192.0,484.0,81.0,241.0,73.0,97.0,9.0,84.0,93.0,223.0,45.0,2.0,92.0,102.0,538.0,2003
81,Clar. Weatherspoon,1970-09-08,51,Southern Mississippi,USA,79.0,270.0,13,1992,2004,1992,1,9,1610612752,NYK,New York,221,104.0,211.0,0.0,1.0,53.0,72.0,74.0,130.0,204.0,30.0,30.0,15.0,35.0,75.0,261.0,2003
82,Clifford Robinson,1966-12-16,55,Connecticut,USA,82.0,245.0,17,1989,2006,1989,2,36,1610612744,GSW,Golden State,361,366.0,945.0,112.0,314.0,123.0,173.0,54.0,268.0,322.0,271.0,68.0,73.0,173.0,237.0,967.0,2003
83,Corey Maggette,1979-11-12,42,Duke,USA,78.0,225.0,14,1999,2012,1999,1,13,1610612746,LAC,Los Angeles,1894,453.0,1013.0,76.0,231.0,526.0,620.0,96.0,334.0,430.0,224.0,65.0,16.0,207.0,217.0,1508.0,2003
84,Corie Blount,1969-01-04,53,Cincinnati,USA,82.0,242.0,11,1993,2003,1993,1,25,1610612741,CHI,Chicago,916,115.0,253.0,0.0,3.0,15.0,27.0,98.0,177.0,275.0,55.0,49.0,24.0,43.0,135.0,245.0,2003
85,Corliss Williamson,1973-12-04,48,Arkansas,USA,79.0,245.0,12,1995,2006,1995,1,13,1610612765,DET,Detroit,722,304.0,602.0,0.0,0.0,144.0,197.0,88.0,168.0,256.0,57.0,30.0,20.0,113.0,204.0,752.0,2003
86,Curtis Borchardt,1980-09-13,41,Stanford,USA,84.0,242.0,2,2002,2004,2002,1,18,1610612762,UTA,Utah,2414,21.0,51.0,0.0,1.0,13.0,16.0,12.0,38.0,50.0,13.0,4.0,14.0,18.0,35.0,55.0,2003
87,Cuttino Mobley,1975-09-01,46,Rhode Island,USA,76.0,215.0,11,1998,2008,1998,2,41,1610612745,HOU,Houston,1749,460.0,1081.0,164.0,420.0,176.0,217.0,40.0,322.0,362.0,258.0,107.0,33.0,180.0,179.0,1260.0,2003
88,Dahntay Jones,1980-12-27,41,Duke,USA,78.0,225.0,13,2003,2016,2003,1,20,1610612763,MEM,Memphis,2563,15.0,53.0,1.0,4.0,5.0,11.0,7.0,16.0,23.0,12.0,5.0,6.0,12.0,23.0,36.0,2003
89,Dajuan Wagner,1983-02-04,39,Memphis,USA,75.0,200.0,3,2002,2006,2002,1,6,1610612739,CLE,Cleveland,2402,112.0,306.0,31.0,86.0,32.0,47.0,9.0,49.0,58.0,51.0,26.0,7.0,41.0,89.0,287.0,2003
90,Dale Davis,1969-03-25,53,Clemson,USA,83.0,252.0,16,1991,2006,1991,1,13,1610612757,POR,Portland,905,133.0,281.0,0.0,0.0,65.0,106.0,158.0,240.0,398.0,72.0,43.0,62.0,40.0,154.0,331.0,2003
91,Damon Jones,1976-08-25,45,Houston,USA,75.0,195.0,11,1998,2008,0,0,0,1610612749,MIL,Milwaukee,1800,210.0,524.0,98.0,273.0,55.0,72.0,15.0,155.0,170.0,478.0,30.0,4.0,103.0,92.0,573.0,2003
92,Damon Stoudamire,1973-09-03,48,Arizona,USA,70.0,171.0,13,1995,2007,1995,1,7,1610612757,POR,Portland,757,408.0,1018.0,156.0,427.0,127.0,145.0,52.0,256.0,308.0,500.0,99.0,9.0,180.0,173.0,1099.0,2003
93,Damone Brown,1979-06-28,42,Syracuse,USA,80.0,202.0,4,2001,2004,2001,2,36,1610612751,NJN,New Jersey,2245,1.0,10.0,0.0,0.0,1.0,2.0,3.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,3.0,2003
94,Dan Dickau,1978-09-16,43,Gonzaga,USA,72.0,180.0,6,2002,2007,2002,1,28,1610612737,ATL,Atlanta,2424,37.0,98.0,10.0,30.0,11.0,14.0,7.0,19.0,26.0,38.0,17.0,0.0,26.0,44.0,95.0,2003
95,Dan Gadzuric,1978-02-02,44,UCLA,Netherlands,83.0,240.0,10,2002,2011,2002,2,33,1610612749,MIL,Milwaukee,2429,183.0,349.0,0.0,1.0,58.0,118.0,126.0,220.0,346.0,28.0,51.0,105.0,45.0,186.0,424.0,2003
96,Dan Langhi,1977-11-28,44,Vanderbilt,USA,83.0,220.0,3,2000,2003,2000,2,31,1610612744,GSW,Golden State,2061,5.0,14.0,1.0,2.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,7.0,13.0,2003
97,Dana Barros,1967-04-13,55,Boston College,USA,71.0,165.0,14,1989,2003,1989,1,16,1610612738,BOS,Boston,344,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2003
98,Daniel Santiago,1976-06-24,45,St. Vincent,Puerto Rico,85.0,256.0,4,2000,2004,0,0,0,1610612749,MIL,Milwaukee,2091,78.0,163.0,0.0,0.0,61.0,90.0,35.0,97.0,132.0,24.0,19.0,21.0,32.0,98.0,217.0,2003
99,Danny Fortson,1976-03-27,46,Cincinnati,USA,80.0,260.0,9,1997,2006,1997,1,10,1610612742,DAL,Dallas,1504,71.0,139.0,0.0,0.0,75.0,92.0,114.0,136.0,250.0,9.0,12.0,11.0,37.0,148.0,217.0,2003
100,Darius Miles,1981-10-09,40,East St. Louis HS (IL),USA,81.0,235.0,7,2000,2008,2000,1,3,1610612739,CLE,Cleveland,2032,365.0,753.0,7.0,40.0,124.0,193.0,112.0,247.0,359.0,162.0,67.0,61.0,130.0,168.0,861.0,2003
