,PLAYER_NAME,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,TEAM_ID,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
28,Maurice Ager,1984-02-09,38,Michigan State,USA,77.0,202.0,3,0,2006,2010,2006,1,28
29,Mark Aguirre,1959-12-10,62,DePaul,USA,78.0,232.0,12,1610612742,1981,1993,1981,1,1
30,Blake Ahearn,1984-05-27,38,Missouri State,USA,74.0,190.0,3,1610612748,2007,2011,0,0,0
31,Danny Ainge,1959-03-17,63,Brigham Young,USA,77.0,175.0,13,1610612738,1981,1994,1981,2,31
32,Alexis Ajinca,1988-05-06,34,Hyeres-Toulon,France,86.0,248.0,7,1610612740,2008,2017,2008,1,20
33,Henry Akin,1944-07-31,77,Morehead State,USA,82.0,225.0,1,1610612752,1966,1967,1966,2,11
34,Josh Akognon,1986-02-10,36,California State-Fullerton,USA,71.0,185.0,1,1610612742,2012,2012,0,0,0
35,DeVaughn Akoon-Purcell,1993-06-05,28,Illinois State,Trinidad and Tobago,78.0,200.0,1,0,2018,2018,0,0,0
36,Solomon Alabi,1988-03-21,34,Florida State,Nigeria,85.0,252.0,2,1610612761,2010,2011,2010,2,50
37,Mark Alarie,1963-12-11,58,Duke,USA,80.0,217.0,4,1610612764,1986,1990,1986,1,18
38,Gary Alcorn,1936-10-08,85,Fresno State,USA,81.0,225.0,1,1610612765,1959,1960,1959,3,16
39,Furkan Aldemir,1991-08-09,30,Galatasaray,Turkey,82.0,240.0,1,1610612755,2014,2014,2012,2,53
40,Cole Aldrich,1988-10-31,33,Kansas,USA,83.0,253.0,8,1610612752,2010,2017,2010,1,11
41,LaMarcus Aldridge,1985-07-19,36,Texas,USA,83.0,250.0,14,1610612759,2006,2020,2006,1,2
42,Chuck Aleksinas,1959-02-26,63,Connecticut,USA,83.0,260.0,0,1610612744,1984,1984,1982,4,76
43,Cliff Alexander,1995-11-16,26,Kansas,USA,80.0,240.0,1,1610612757,2015,2015,0,0,0
44,Cory Alexander,1973-06-22,48,Virginia,USA,73.0,190.0,7,1610612759,1995,2004,1995,1,29
45,Courtney Alexander,1977-04-27,45,Fresno State,USA,77.0,205.0,3,1610612764,2000,2003,2000,1,13
46,Gary Alexander,1969-11-01,52,South Florida,USA,79.0,240.0,0,1610612739,1993,1993,0,0,0
47,Joe Alexander,1986-12-26,35,West Virginia,USA,80.0,230.0,2,1610612749,2008,2009,2008,1,8
48,Kyle Alexander,1996-10-21,25,Tennessee,Canada,82.0,216.0,1,1610612748,2019,2019,0,0,0
49,Victor Alexander,1969-08-31,52,Iowa State,USA,82.0,265.0,4,1610612744,1991,2001,1991,1,17
50,Nickeil Alexander-Walker,1998-09-02,23,Virginia Tech,Canada,78.0,205.0,1,1610612740,2019,2020,2019,1,17
51,Steve Alford,1964-11-23,57,Indiana,USA,74.0,183.0,3,1610612742,1987,1990,1987,2,26
52,Rawle Alkins,1997-10-29,24,Arizona,USA,77.0,225.0,1,1610612741,2018,2018,0,0,0
53,Bob Allen,1946-07-17,75,Marshall,USA,81.0,205.0,0,1610612744,1968,1968,1968,6,71
54,Grayson Allen,1995-10-08,26,Duke,USA,76.0,198.0,2,1610612763,2018,2020,2018,1,21
55,Jarrett Allen,1998-04-21,24,Texas,USA,83.0,243.0,3,1610612739,2017,2020,2017,1,22
56,Jerome Allen,1973-01-28,49,Pennsylvania,USA,76.0,184.0,1,1610612754,1995,1996,1995,2,49
57,Kadeem Allen,1993-01-15,29,Arizona,USA,73.0,200.0,2,0,2017,2019,2017,2,53
58,Lavoy Allen,1989-02-04,33,Temple,USA,81.0,260.0,6,1610612754,2011,2016,2011,2,50
59,Lucius Allen,1947-09-26,74,UCLA,USA,74.0,175.0,9,1610612749,1969,1978,1969,1,3
60,Malik Allen,1978-06-27,43,Villanova,USA,82.0,255.0,10,1610612748,2001,2010,0,0,0
61,Randy Allen,1965-01-26,57,Florida State,USA,80.0,220.0,1,1610612758,1988,1989,0,0,0
62,Ray Allen,1975-07-20,46,Connecticut,USA,77.0,205.0,17,1610612749,1996,2013,1996,1,5
63,Tony Allen,1982-01-11,40,Oklahoma State,USA,76.0,213.0,13,0,2004,2017,2004,1,25
64,Odis Allison,1949-10-02,72,UNLV,USA,78.0,195.0,0,1610612744,1971,1971,1971,5,76
65,Lance Allred,1981-02-02,41,Weber State,USA,83.0,250.0,1,1610612739,2007,2007,0,0,0
66,Darrell Allums,1958-09-12,63,UCLA,USA,80.0,220.0,0,1610612742,1980,1980,1980,5,103
67,Morris Almond,1985-02-02,37,Rice,USA,78.0,225.0,3,1610612762,2007,2011,2007,1,25
68,Derrick Alston,1972-08-20,49,Duquesne,USA,83.0,225.0,2,0,1994,1996,1994,2,33
69,Rafer Alston,1976-07-24,45,Fresno State,USA,74.0,175.0,10,1610612745,1999,2009,1998,2,39
70,Peter Aluma,1973-04-26,49,Liberty,USA,82.0,260.0,0,0,1998,1998,0,0,0
71,John Amaechi,1970-11-26,51,Penn State,United Kingdom,82.0,270.0,5,1610612753,1995,2002,0,0,0
72,Ashraf Amaya,1971-11-23,50,Southern Illinois,USA,80.0,230.0,1,0,1995,1996,0,0,0
73,Al-Farouq Aminu,1990-09-21,31,Wake Forest,USA,80.0,220.0,10,1610612753,2010,2020,2010,1,8
74,Lou Amundson,1982-12-07,39,UNLV,USA,81.0,220.0,10,1610612756,2006,2015,0,0,0
75,Bob Anderegg,1937-08-24,84,Michigan State,USA,75.0,200.0,0,1610612752,1959,1959,1959,3,20
76,Chris Andersen,1978-07-07,43,Blinn J.C.,USA,82.0,245.0,14,0,2001,2016,0,0,0
77,David Andersen,1980-06-23,41,FC Barcelona,Australia,78.07063365886896,211.14685155717208,19,0,2009,2017,2002,2,36
78,Alan Anderson,1982-10-16,39,Michigan State,USA,78.0,220.0,8,1610612751,2005,2016,0,0,0
79,Antonio Anderson,1985-06-05,36,Memphis,USA,78.0,215.0,1,0,2009,2009,0,0,0
80,Cliff Anderson,1944-09-07,77,St. Joseph's (PA),USA,74.0,200.0,2,1610612747,1967,1970,1967,4,35
81,Daniel Anderson,1951-01-01,71,Southern California,USA,74.0,185.0,1,1610612757,1974,1975,1974,6,92
82,Derek Anderson,1974-07-18,47,Kentucky,USA,77.0,195.0,11,1610612757,1997,2007,1997,1,13
83,Dwight Anderson,1960-12-28,61,Southern California,USA,75.0,185.0,0,1610612743,1982,1982,1982,2,41
84,Eric Anderson,1970-05-26,52,Indiana,USA,81.0,220.0,1,1610612752,1992,1993,0,0,0
85,Greg Anderson,1964-06-22,57,Houston,USA,82.0,250.0,9,1610612759,1987,1997,1987,1,23
86,James Anderson,1989-03-25,33,Oklahoma State,USA,78.0,213.0,5,1610612759,2010,2015,2010,1,20
87,Jerome Anderson,1953-10-09,68,West Virginia,USA,77.0,195.0,1,1610612754,1975,1976,1975,3,53
88,Justin Anderson,1993-11-19,28,Virginia,USA,77.0,231.0,5,1610612751,2015,2019,2015,1,21
89,Kenny Anderson,1970-10-09,51,Georgia Tech,USA,73.0,168.0,13,0,1991,2004,1991,1,2
90,Kim Anderson,1955-05-12,67,Missouri,USA,79.0,200.0,0,1610612757,1978,1978,1978,7,146
91,Kyle Anderson,1993-09-20,28,UCLA,USA,81.0,230.0,6,1610612763,2014,2020,2014,1,30
92,Michael Anderson,1966-03-23,56,Drexel,USA,71.0,184.0,0,1610612759,1988,1988,1988,3,73
93,Mitchell Anderson,1960-09-23,61,Bradley,USA,80.0,195.0,2,1610612762,1982,1984,1982,2,36
94,Nick Anderson,1968-01-20,54,Illinois,USA,78.0,228.0,13,1610612753,1989,2002,1989,1,11
95,Richard Anderson,1960-11-19,61,California-Santa Barbara,USA,82.0,240.0,5,1610612757,1982,1989,1982,2,32
96,Ron Anderson,1958-10-15,63,Fresno State,USA,79.0,215.0,9,1610612755,1984,1993,1984,2,27
97,Ryan Anderson,1988-05-06,34,California,USA,81.0,240.0,11,0,2008,2019,2008,1,21
98,Shandon Anderson,1973-12-31,48,Georgia,USA,78.0,215.0,9,1610612752,1996,2005,1996,2,54
99,Willie Anderson,1967-01-08,55,Georgia,USA,80.0,200.0,8,1610612759,1988,1996,1988,1,10
100,Wally Anderzunas,1946-01-11,76,Creighton,USA,79.0,220.0,0,1610612758,1969,1969,1969,2,25
101,Martynas Andriuskevicius,1986-03-12,36,Zalgiris,Lithuania,86.0,240.0,1,1610612739,2005,2006,2005,2,44
102,Don Anielak,1930-11-01,91,Missouri State,USA,79.0,190.0,0,1610612752,1954,1954,1954,3,26
103,Ike Anigbogu,1998-10-16,23,UCLA,USA,82.0,250.0,2,0,2017,2018,2017,2,47
104,Michael Ansley,1967-02-08,55,Alabama,USA,79.0,225.0,2,1610612753,1989,1991,1989,2,37
105,Chris Anstey,1975-01-01,47,South East Melbourne,Australia,84.0,249.0,2,1610612742,1997,1999,1997,1,18
106,Giannis Antetokounmpo,1994-12-06,27,Filathlitikos,Greece,83.0,242.0,7,1610612749,2013,2020,2013,1,15
107,Kostas Antetokounmpo,1997-11-20,24,Dayton,Greece,82.0,200.0,2,1610612747,2018,2020,2018,2,60
108,Thanasis Antetokounmpo,1992-07-18,29,Panathinaikos,Greece,78.0,219.0,2,1610612749,2015,2020,2014,2,51
109,Carmelo Anthony,1984-05-29,38,Syracuse,USA,79.0,238.0,17,1610612757,2003,2020,2003,1,3
110,Greg Anthony,1967-11-15,54,UNLV,USA,73.0,180.0,10,1610612752,1991,2001,1991,1,12
111,Joel Anthony,1982-08-09,39,UNLV,Canada,81.0,245.0,10,1610612748,2007,2016,0,0,0
112,Pero Antic,1982-07-29,39,Olympiacos,Macedonia,83.0,260.0,1,1610612737,2013,2014,0,0,0
113,OG Anunoby,1997-07-17,24,Indiana,United Kingdom,79.0,232.0,3,1610612761,2017,2020,2017,1,23
114,Keith Appling,1992-02-13,30,Michigan State,USA,73.0,185.0,0,0,2015,2015,0,0,0
115,Rafael Araujo,1980-08-12,41,Brigham Young,Brazil,83.0,270.0,3,1610612761,2004,2006,2004,1,8
116,Stacey Arceneaux,1936-02-17,86,Iowa State,USA,76.0,210.0,0,1610612737,1961,1961,0,0,0
117,Nate Archibald,1948-09-02,73,Texas-El Paso,USA,73.0,150.0,12,1610612758,1970,1983,1970,2,19
118,Robert Archibald,1980-03-29,42,Illinois,Scotland,83.0,250.0,2,1610612761,2002,2003,2002,2,31
119,Ryan Arcidiacono,1994-03-26,28,Villanova,USA,75.0,195.0,3,1610612741,2017,2020,0,0,0
120,Jim Ard,1948-09-19,73,Cincinnati,USA,81.0,215.0,3,1610612738,1974,1977,1970,1,6
121,Gilbert Arenas,1982-01-06,40,Arizona,USA,76.0,215.0,11,1610612764,2001,2011,2001,2,30
122,Trevor Ariza,1985-06-30,36,UCLA,USA,80.0,215.0,16,1610612748,2004,2020,2004,2,43
124,Joe Arlauckas,1965-07-20,56,Niagara,USA,81.0,230.0,0,1610612758,1987,1987,1987,4,74
125,B.J. Armstrong,1967-09-09,54,Iowa,USA,74.0,185.0,10,1610612741,1989,1999,1989,1,18
127,Brandon Armstrong,1980-06-16,41,Pepperdine,USA,77.0,185.0,3,1610612751,2001,2003,2001,1,23
128,Darrell Armstrong,1968-06-22,53,Fayetteville State,USA,73.0,180.0,14,1610612753,1994,2007,0,0,0
129,Hilton Armstrong,1984-11-23,37,Connecticut,USA,83.0,235.0,5,1610612740,2006,2013,2006,1,12
130,Paul Armstrong,1918-11-01,103,Indiana,USA,71.0,170.0,2,1610612765,1948,1950,0,0,0
131,Tate Armstrong,1955-10-05,66,Duke,USA,75.0,175.0,1,1610612741,1977,1978,1977,1,13
132,Jesse Arnelle,1933-12-30,88,Penn State,USA,77.0,220.0,0,1610612765,1955,1955,1955,2,13
133,Jay Arnette,1938-12-19,83,Texas,USA,74.0,175.0,2,1610612758,1963,1965,1960,2,9
134,Bob Arnzen,1947-11-03,74,Notre Dame,USA,77.0,205.0,0,1610612758,1970,1970,1969,8,103
135,Carlos Arroyo,1979-07-30,42,Florida International,Puerto Rico,74.0,200.0,9,1610612753,2001,2010,0,0,0
136,Darrell Arthur,1988-03-25,34,Kansas,USA,81.0,235.0,9,1610612743,2008,2017,2008,1,27
137,John Arthurs,1947-08-15,74,Tulane,USA,76.0,185.0,0,1610612749,1969,1969,1969,6,73
138,Jamel Artis,1993-01-12,29,Pittsburgh,USA,79.0,213.0,1,1610612753,2017,2017,0,0,0
139,Omer Asik,1986-07-04,35,Fenerbahce,Turkey,84.0,255.0,8,1610612740,2010,2017,2008,2,36
140,Vincent Askew,1966-02-28,56,Memphis,USA,78.0,210.0,8,0,1987,1997,1987,2,39
141,Keith Askins,1967-12-15,54,Alabama,USA,80.0,215.0,8,1610612748,1990,1998,0,0,0
142,Don Asmonga,1928-02-15,94,Alliance,USA,74.0,185.0,0,1610610024,1953,1953,0,0,0
144,Chucky Atkins,1974-08-14,47,South Florida,USA,71.0,185.0,11,1610612765,1999,2009,0,0,0
145,Alvin Attles,1936-11-07,85,North Carolina A&T,USA,73.0,175.0,10,1610612744,1960,1970,1960,5,39
146,Chet Aubuchon,1916-05-08,106,Michigan State,USA,70.0,137.0,0,1610610028,1946,1946,0,0,0
147,Stacey Augmon,1968-08-01,53,UNLV,USA,80.0,213.0,15,1610612737,1991,2005,1991,1,9
148,D.J. Augustin,1987-11-10,34,Texas,USA,71.0,183.0,12,1610612745,2008,2020,2008,1,9
149,James Augustine,1984-02-27,38,Illinois,USA,82.0,235.0,1,1610612753,2006,2007,2006,2,41
150,Ike Austin,1969-08-18,52,Arizona State,USA,82.0,288.0,8,0,1991,2001,1991,2,48
151,John Austin,1944-08-31,77,Boston College,USA,72.0,170.0,0,1610612764,1966,1966,1966,4,38
152,Ken Austin,1961-07-15,60,Rice,USA,81.0,205.0,0,1610612765,1983,1983,1983,5,101
153,Anthony Avent,1969-10-18,52,Seton Hall,USA,81.0,240.0,5,1610612749,1992,1999,1991,1,15
154,William Averitt,1952-07-22,69,Pepperdine,USA,74.0,170.0,1,1610612746,1976,1977,1973,4,55
155,William Avery,1979-08-08,42,Duke,USA,74.0,180.0,3,1610612750,1999,2002,1999,1,14
156,Dennis Awtrey,1948-02-22,74,Santa Clara,USA,82.0,235.0,11,1610612756,1970,1981,1970,3,46
157,Gustavo Ayon,1985-04-01,37,Baloncesto Fuenlabrada,Mexico,78.07063365886896,211.14685155717208,2,0,2011,2016,0,0,0
158,Jeff Ayres,1987-04-29,35,Arizona State,USA,81.0,250.0,6,1610612759,2009,2015,2009,2,31
159,Deandre Ayton,1998-07-23,23,Arizona,Bahamas,83.0,250.0,2,1610612756,2018,2020,2018,1,1
160,Kelenna Azubuike,1983-12-16,38,Kentucky,United Kingdom,77.0,215.0,4,1610612744,2006,2011,0,0,0
161,Chris Babb,1990-02-14,32,Iowa State,USA,77.0,225.0,2,1610612738,2013,2014,0,0,0
162,Luke Babbitt,1989-06-20,32,Nevada-Reno,USA,81.0,225.0,8,1610612748,2010,2017,2010,1,16
163,Milos Babic,1968-11-23,53,Tennessee Tech,USA,84.0,240.0,1,1610612739,1990,1991,1990,2,50
165,Dwayne Bacon,1995-08-30,26,Florida State,USA,78.0,221.0,3,1610612753,2017,2020,2017,2,40
166,Jim Baechtold,1927-12-09,94,Eastern Kentucky,USA,76.0,205.0,4,1610612752,1952,1956,1952,1,2
167,Dalibor Bagaric,1980-07-02,41,Benston Zagreb,Croatia,85.0,290.0,3,1610612741,2000,2002,2000,1,24
168,John Bagley,1960-04-23,62,Boston College,USA,72.0,185.0,10,1610612739,1982,1993,1982,1,12
169,Marvin Bagley III,1999-03-14,23,Duke,USA,83.0,235.0,2,1610612758,2018,2020,2018,1,2
170,Carl Bailey,1958-04-23,64,Tuskegee,USA,84.0,210.0,0,1610612757,1981,1981,1980,3,66
171,Gus Bailey,1951-02-18,71,Texas-El Paso,USA,77.0,185.0,4,1610612745,1974,1979,1974,2,23
172,James Bailey,1957-05-21,65,Rutgers,USA,81.0,220.0,8,1610612760,1979,1987,1979,1,6
173,Thurl Bailey,1961-04-07,61,North Carolina State,USA,83.0,247.0,11,1610612762,1983,1998,1983,1,7
174,Toby Bailey,1975-11-19,46,UCLA,USA,78.0,213.0,2,1610612756,1998,2002,1998,2,45
175,Cameron Bairstow,1990-12-07,31,New Mexico,Australia,81.0,250.0,2,1610612741,2014,2015,2014,2,49
176,Mark Baker,1969-11-11,52,Ohio State,USA,73.0,175.0,0,0,1998,1998,0,0,0
177,Maurice Baker,1979-07-28,42,Oklahoma State,USA,74.0,200.0,1,0,2002,2004,0,0,0
178,Norm Baker,1923-02-17,99,Victoria,Canada,72.0,180.0,0,1610610025,1946,1946,0,0,0
179,Ron Baker,1993-03-30,29,Wichita State,USA,76.0,220.0,2,0,2016,2018,0,0,0
180,Vin Baker,1971-11-23,50,Hartford,USA,83.0,240.0,12,1610612760,1993,2005,1993,1,8
181,Wade Baldwin IV,1996-03-29,26,Vanderbilt,USA,76.0,200.0,2,0,2016,2018,2016,1,17
182,Renaldo Balkman,1984-07-14,37,South Carolina,USA,80.0,225.0,6,0,2006,2011,2006,1,20
183,Cedric Ball,1968-04-16,54,North Carolina-Charlotte,USA,80.0,210.0,0,1610612746,1990,1990,0,0,0
184,Lonzo Ball,1997-10-27,24,UCLA,USA,78.0,190.0,3,1610612740,2017,2020,2017,1,2
185,Greg Ballard,1955-01-29,67,Oregon,USA,79.0,215.0,10,1610612764,1977,1988,1977,1,4
186,Herschel Baltimore,1921-06-21,100,Penn State,USA,76.0,195.0,0,1610610034,1946,1946,0,0,0
187,Mo Bamba,1998-05-12,24,Texas-Austin,USA,84.0,231.0,2,1610612753,2018,2020,2018,1,6
188,Gene Banks,1959-05-15,63,Duke,USA,79.0,215.0,5,1610612759,1981,1986,1981,2,28
189,Marcus Banks,1981-11-19,40,UNLV,USA,74.0,205.0,8,1610612738,2003,2010,2003,1,13
190,Ken Bannister,1960-04-01,62,St. Augustine's,USA,81.0,235.0,4,1610612752,1984,1990,1984,7,156
191,Mike Bantom,1951-12-03,70,St. Joseph's (PA),USA,81.0,200.0,8,1610612754,1973,1981,1973,1,8
193,Leandro Barbosa,1982-11-28,39,Bauru,Brazil,75.0,194.0,14,1610612756,2003,2016,2003,1,28
194,Stephen Bardo,1968-04-05,54,Illinois,USA,77.0,190.0,2,1610612742,1991,1995,1990,2,41
195,J.J. Barea,1984-06-26,37,Northeastern,Puerto Rico,70.0,180.0,14,1610612742,2006,2019,0,0,0
196,Andrea Bargnani,1985-10-26,36,Benetton Treviso,Italy,84.0,245.0,9,0,2006,2015,2006,1,1
198,Tom Barker,1955-03-11,67,Hawaii,USA,83.0,225.0,1,1610612737,1976,1978,1976,4,53
199,Charles Barkley,1963-02-20,59,Auburn,USA,78.0,252.0,15,1610612755,1984,1999,1984,1,5
200,Erick Barkley,1978-02-21,44,St. John's,USA,73.0,185.0,2,1610612757,2000,2002,2000,1,28
201,Don Barksdale,1923-03-31,99,UCLA,USA,78.0,200.0,3,1610612738,1951,1954,0,0,0
202,Harrison Barnes,1992-05-30,30,North Carolina,USA,80.0,225.0,8,1610612758,2012,2020,2012,1,7
203,Harry Barnes,1945-07-25,76,Northeastern,USA,75.0,205.0,0,1610612745,1968,1968,1968,4,37
204,Jim Barnes,1941-04-13,81,Texas-El Paso,USA,80.0,210.0,6,1610612738,1964,1970,1964,1,1
205,Marvin Barnes,1952-07-27,69,Providence,USA,81.0,210.0,3,1610612746,1976,1979,1974,1,2
206,Matt Barnes,1980-03-09,42,UCLA,USA,79.0,226.0,14,1610612744,2002,2016,2002,2,45
207,Dick Barnett,1936-10-02,85,Tennessee State,USA,76.0,190.0,13,1610612752,1959,1973,1959,1,4
208,Jim Barnett,1944-07-07,77,Oregon,USA,76.0,170.0,10,1610612744,1966,1976,1966,1,8
209,John Barnhill,1938-03-20,84,Tennessee State,USA,73.0,180.0,6,1610612737,1962,1968,1959,11,77
210,Norton Barnhill,1953-07-15,68,Washington State,USA,76.0,205.0,0,1610612760,1976,1976,1976,8,134
212,John Barr,1918-08-18,103,Penn State,USA,75.0,205.0,0,1610610034,1946,1946,0,0,0
213,Mike Barr,1950-10-19,71,Duquesne,USA,75.0,180.0,0,1610612758,1976,1976,1972,13,180
214,Thomas Barr,1944-06-19,77,Duquesne,USA,76.0,195.0,0,1610612758,1970,1970,0,0,0
215,Andre Barrett,1982-02-21,40,Seton Hall,USA,70.0,173.0,4,0,2004,2007,0,0,0
216,Ernie Barrett,1929-08-27,92,Kansas State,USA,78.07063365886896,211.14685155717208,1,0,1953,2008,1951,1,7
217,RJ Barrett,2000-06-14,21,Duke,Canada,78.0,214.0,1,1610612752,2019,2020,2019,1,3
218,Earl Barron,1981-08-14,40,Memphis,USA,84.0,250.0,8,1610612748,2005,2014,0,0,0
219,Dana Barros,1967-04-13,55,Boston College,USA,71.0,165.0,14,1610612738,1989,2003,1989,1,16
220,Brent Barry,1971-12-31,50,Oregon State,USA,79.0,210.0,14,1610612760,1995,2008,1995,1,15
221,Drew Barry,1973-02-17,49,Georgia Tech,USA,77.0,191.0,2,1610612737,1997,1999,1996,2,57
222,Jon Barry,1969-07-25,52,Georgia Tech,USA,77.0,210.0,13,0,1992,2005,1992,1,21
223,Rick Barry,1944-03-28,78,Miami,USA,79.0,205.0,9,1610612744,1965,1979,1965,1,2
224,Ed Bartels,1925-10-08,96,North Carolina State,USA,78.0,195.0,1,1610610036,1949,1950,0,0,0
225,Vic Bartolome,1948-09-29,73,Oregon State,USA,84.0,230.0,0,1610612744,1971,1971,1970,6,87
226,Will Barton,1991-01-06,31,Memphis,USA,78.0,181.0,8,1610612743,2012,2020,2012,2,40
227,Eddie Basden,1983-02-15,39,North Carolina-Charlotte,USA,77.0,215.0,1,1610612741,2005,2005,0,0,0
228,Jerry Baskerville,1951-11-10,70,Temple,USA,79.0,190.0,0,1610612755,1975,1975,0,0,0
229,Brandon Bass,1985-04-30,37,Louisiana State,USA,80.0,250.0,12,1610612738,2005,2016,2005,2,33
230,Tim Bassett,1951-04-01,71,Georgia,USA,80.0,225.0,3,1610612751,1976,1979,1973,7,106
231,Maceo Baston,1976-05-29,46,Michigan,USA,82.0,230.0,4,1610612754,2002,2008,1998,2,58
232,Mengke Bateer,1975-11-20,46,Beijing,China,83.0,290.0,3,0,2001,2003,0,0,0
233,Billyray Bates,1956-05-31,66,Kentucky State,USA,76.0,210.0,3,1610612757,1979,1982,1978,3,47
234,Keita Bates-Diop,1996-01-23,26,Ohio State,USA,80.0,229.0,2,1610612759,2018,2020,2018,2,48
235,Esteban Batista,1983-09-02,38,Trouville,Uruguay,82.0,268.0,2,1610612737,2005,2006,0,0,0
236,Mike Batiste,1977-11-21,44,Arizona State,USA,78.07063365886896,211.14685155717208,1,0,2002,2007,0,0,0
237,Tony Battie,1976-02-11,46,Texas Tech,USA,83.0,240.0,14,1610612738,1997,2011,1997,1,5
238,Shane Battier,1978-09-09,43,Duke,USA,80.0,220.0,12,1610612763,2001,2013,2001,1,6
239,John Battle,1962-11-09,59,Rutgers,USA,74.0,175.0,9,1610612737,1985,1994,1985,4,84
240,Kenny Battle,1964-10-10,57,Illinois,USA,78.0,210.0,3,1610612756,1989,1992,1989,1,27
241,Dave Batton,1956-03-26,66,Notre Dame,USA,82.0,240.0,1,1610612764,1982,1983,1978,3,62
242,Nicolas Batum,1988-12-14,33,Le Mans,France,80.0,230.0,12,1610612746,2008,2020,2008,1,25
243,Johnny Baum,1946-06-17,75,Temple,USA,77.0,200.0,1,1610612741,1969,1970,1969,2,23
244,Frankie Baumholtz,1918-10-07,103,Ohio,USA,70.0,170.0,0,1610610026,1946,1946,0,0,0
245,Lonny Baxter,1979-01-27,43,Maryland,USA,80.0,260.0,3,1610612741,2002,2005,2002,2,43
246,Jerryd Bayless,1988-08-20,33,Arizona,USA,75.0,200.0,11,1610612750,2008,2018,2008,1,11
247,Elgin Baylor,1934-09-16,87,Seattle,USA,77.0,225.0,13,1610612747,1958,1971,1958,1,1
248,Aron Baynes,1986-12-09,35,Washington State,Australia,82.0,260.0,8,1610612761,2012,2020,0,0,0
249,Sergei Bazarevich,1965-03-15,57,Tofas S.K.,Russia,74.0,168.0,0,1610612737,1994,1994,0,0,0
250,Kent Bazemore,1989-07-01,32,Old Dominion,USA,76.0,195.0,8,1610612744,2012,2020,0,0,0
251,Darius Bazley,2000-06-12,21,Princeton HS (OH),USA,80.0,208.0,1,1610612760,2019,2020,2019,1,23
